Case 1: checksum = 0000
 SYMBOL   ADDR
NRU       ????
NRX       ????
NRY       ????
NTC       ????
NTN       ????
NTR       ????
NVC       ????
NVL       017D
NVR       ????
NVZ       ????
NWI       ????
NWR       ????
NXW       ????
NXZ       ????
NYF       ????
NYQ       ????
NYW       ????
NZH       ????
NZR       ????
OAB       ????
OBX       ????
OCN       ????
OCR       ????
OCS       ????
ODN       ????
OER       ????
OFA       ????
OFU       ????
OGQ       ????
OHP       ????
OHR       ????
OHW       ????
OII       ????
OKD       ????
OLU       ????
ONC       ????
ONL       0194
ONM       ????
ONQ       ????
ONY       ????
OOD       ????
OOS       ????
OPC       ????
OPY       ????
OQE       ????
OQO       ????
OQT       ????
OSY       ????
OSZ       ????
OTU       ????
OUF       ????
OUG       ????
OVD       ????
OWJ       ????
OWO       ????
OXS       ????
OXY       ????
OYP       ????
OYT       ????
OYV       ????
OZB       ????
OZH       ????
OZO       ????
OZW       ????
PAQ       ????
PAS       ????
PBM       ????
PCC       ????
PCM       ????
PEM       ????
PFK       ????
PGL       014C
PHN       ????
PHT       ????
PIG       ????
PJU       017D
PKO       ????
PKP       ????
PKS       ????
PLH       ????
PLI       ????
PLT       ????
PNM       ????
PNP       ????
PNU       ????
PPR       ????
PQA       ????
PQD       ????
PQE       ????
PQS       ????
PRQ       ????
PRR       ????
PRX       ????
PSF       ????
PTJ       ????
PTX       ????
PVB       ????
PVJ       ????
PWD       ????
PWT       ????
PWX       ????
PXL       ????
PXY       ????
PXZ       ????
PYA       ????
PYI       ????
PYU       ????
PZD       ????
PZM       ????
QAG       ????
QBE       ????
QBZ       ????
QCN       ????
QCO       ????
QDO       ????
QEO       ????
QEQ       ????
QFQ       ????
QFV       ????
QGP       ????
QHH       ????
QIH       ????
QIM       ????
QJB       ????
QJK       ????
QJU       ????
QJX       ????
QKC       ????
QKD       ????
QKP       ????
QKW       ????
QLF       ????
QLK       ????
QLM       ????
QLQ       ????
QLS       ????
QMN       ????
QMU       ????
QMW       ????
QNR       ????
QNY       ????
QPD       ????
QPF       ????
QPH       ????
QPS       ????
QPV       ????
QQB       ????
QQG       ????
QRA       ????
QRH       ????
QRK       ????
QSG       ????
QSJ       ????
QTE       ????
QTS       ????
QUB       ????
QUH       ????
QUI       ????
QUL       ????
QVD       ????
QWF       ????
QWW       ????
QWZ       ????
QXF       ????
QXK       ????
QXS       ????
QXZ       ????
QYB       ????
QYL       ????
QZU       ????
RAJ       ????
RAO       ????
RBI       ????
RCS       ????
RCU       ????
RDC       ????
RDF       ????
RFH       ????
RFM       ????
RGE       ????
RGI       ????
RGL       ????
RGR       ????
RGS       ????
RHO       ????
RHU       ????
RIJ       ????
RIW       ????
RJF       ????
RKL       ????
RLA       ????
RLB       ????
RMF       ????
RMJ       ????
RMS       ????
RNA       ????
RNB       ????
RND       ????
RNW       ????
ROG       ????
ROI       ????
ROM       ????
RQQ       ????
RQU       0143
RRN       ????
RSV       ????
RSW       ????
RTX       ????
RUC       ????
RUD       ????
RVB       ????
RVN       ????
RVY       ????
RWF       019E
RWQ       ????
RWX       ????
RXQ       ????
RXS       ????
RXZ       ????
RYK       ????
RYM       ????
RYR       ????
RZV       ????
SAD       ????
SAL       ????
SBH       ????
SBR       ????
SBZ       ????
SCG       ????
SCN       ????
SCX       ????
SCY       ????
SDI       ????
SDM       ????
SDV       ????
SDZ       ????
SEA       ????
SFS       ????
SGC       ????
SGQ       ????
SGU       ????
SGV       ????
SHO       ????
SIF       ????
SIO       ????
SIT       ????
SIZ       ????
SJC       ????
SJY       ????
SKV       ????
SLK       ????
SMC       ????
SMI       ????
SMR       ????
SNY       ????
SOL       ????
SOO       ????
SPP       ????
SQM       ????
SRF       ????
SRG       ????
SRI       0191
SRU       ????
SRY       01E6
SSE       ????
SSP       ????
SSQ       0143
SSU       ????
STB       ????
STV       ????
SUF       ????
SUY       ????
SVB       ????
SVD       ????
SVO       ????
SVS       ????
SWI       ????
SWJ       ????
SWP       0114
SWV       ????
SXH       ????
SXJ       ????
SXN       ????
SYD       ????
SYM       ????
SYN       ????
SYY       ????
SZC       ????
SZE       0185
SZU       ????
SZY       ????
TBE       ????
TCV       ????
TDL       ????
TDM       ????
TDQ       ????
TER       ????
TFE       ????
TFW       ????
TGT       ????
THA       ????
THB       ????
THK       ????
THP       ????
TII       ????
TJI       ????
TJN       ????
TKK       0135
TKZ       ????
TLB       ????
TMA       ????
TMK       ????
TNA       ????
TNC       0151
TOJ       ????
TOP       ????
TPG       ????
TPN       ????
TPY       ????
TQF       ????
TQK       ????
TQO       ????
TQR       ????
TRS       ????
TSW       ????
TSX       ????
TTH       ????
TTU       ????
TTZ       ????
TUM       ????
TWB       ????
TWM       ????
TWR       ????
TXC       ????
TXH       ????
TXW       ????
UAG       ????
UAW       ????
UBB       ????
UBK       ????
UCK       ????
UCP       ????
UDJ       ????
UEP       ????
UFC       ????
UGE       ????
UGY       ????
UHB       ????
UHF       ????
UHH       ????
UIC       ????
UIP       ????
UJE       ????
UKW       ????
ULF       ????
UMW       ????
UOD       ????
UOJ       ????
UOP       ????
UQA       ????
UQM       ????
UQP       ????
UQV       ????
USA       ????
USC       ????
USF       ????
UTL       ????
UTO       ????
UTT       ????
UTZ       ????
UUI       ????
UUJ       ????
UUX       ????
UVK       ????
UWI       ????
UXS       ????
UXT       ????
UXV       ????
UYT       ????
UYY       ????
UZC       ????
UZP       ????
VAS       ????
VAZ       01A6
VBG       ????
VBI       ????
VBW       ????
VDH       ????
VDK       ????
VDO       ????
VDR       ????
VDT       ????
VEB       ????
VEC       ????
VEG       ????
VFB       ????
VGB       ????
VGJ       ????
VHD       ????
VHP       ????
VIL       ????
VKL       ????
VKQ       ????
VKY       ????
VLB       ????
VLL       ????
VLW       ????
VLX       ????
VMW       ????
VNK       ????
VNU       ????
VNX       ????
VOE       ????
VOH       ????
VOR       ????
VOV       ????
VOX       ????
VPD       ????
VQK       ????
VQR       ????
VQW       ????
VRC       ????
VSO       0183
VTD       ????
VUC       ????
VUN       ????
VUO       ????
VVY       ????
VWL       ????
VWW       ????
VXC       ????
VXW       ????
VYN       ????
VYV       ????
VYZ       ????
VZF       ????
VZL       ????
VZP       ????
VZR       ????
WAA       ????
WAG       ????
WAO       ????
WAW       ????
WBC       ????
WCL       ????
WCP       ????
WCR       ????
WCS       ????
WDQ       ????
WDS       ????
WEN       ????
WIJ       ????
WIU       ????
WJI       ????
WJM       ????
WJS       ????
WKL       ????
WLK       ????
WLQ       ????
WMM       ????
WMU       ????
WMZ       ????
WNT       ????
WOS       ????
WOU       ????
WPE       ????
WPL       ????
WQI       01D5
WRX       ????
WSF       ????
WTB       ????
WTC       ????
WTL       ????
WUK       ????
WUL       ????
WVD       ????
WWQ       ????
WWU       ????
WXC       ????
WXG       ????
WXH       ????
WYQ       ????
WZD       ????
WZF       ????
WZK       ????
WZL       ????
XAF       01A0
XAK       ????
XAQ       ????
XBB       ????
XCR       ????
XDI       ????
XDR       ????
XEV       ????
XFC       ????
XFW       ????
XIE       ????
XIW       010B
XLW       ????
XLY       ????
XMS       ????
XMW       ????
XNA       ????
XNC       ????
XNU       ????
XNY       ????
XNZ       ????
XPL       ????
XPN       ????
XQE       ????
XQK       ????
XQL       ????
XQV       ????
XQZ       ????
XRD       ????
XRJ       ????
XRO       ????
XSB       ????
XTJ       ????
XVC       ????
XVI       ????
XVS       ????
XWD       ????
XXK       ????
XYU       ????
XZE       ????
XZN       ????
YAC       ????
YAI       0120
YAV       ????
YAX       ????
YBE       ????
YBR       ????
YBT       ????
YBZ       ????
YEF       ????
YFI       ????
YGF       ????
YHF       ????
YHS       ????
YHW       ????
YHX       ????
YKD       ????
YKF       ????
YKQ       ????
YLG       ????
YMP       ????
YMV       ????
YNL       ????
YNO       013B
YNU       ????
YNW       ????
YOH       ????
YOV       ????
YPB       ????
YPX       ????
YQJ       ????
YQY       ????
YRV       ????
YSD       ????
YTM       ????
YWC       ????
YWQ       ????
YWT       ????
YWV       ????
YWY       ????
YXB       ????
YZQ       ????
ZAX       ????
ZBB       ????
ZDC       ????
ZDH       ????
ZDX       ????
ZEM       ????
ZFA       ????
ZFD       ????
ZFG       ????
ZFX       ????
ZGP       ????
ZGR       ????
ZJC       ????
ZJF       ????
ZKV       ????
ZLU       ????
ZLX       ????
ZMI       ????
ZMX       01BD
ZNV       ????
ZNX       ????
ZNZ       ????
ZOM       ????
ZOP       ????
ZQE       ????
ZQG       ????
ZQQ       ????
ZQR       ????
ZRH       ????
ZRQ       ????
ZSF       ????
ZSL       ????
ZSP       ????
ZSS       ????
ZTN       ????
ZUR       ????
ZVP       ????
ZVT       ????
ZVZ       ????
ZWA       ????
ZWE       ????
ZWR       ????
ZYJ       ????
ZZD       ????
ZZF       ????
ZZW       ????
